visitorid,no_views,no_addtocart,no_transaction,time_spent_minutes
17,1,0,0,0.0000
52,1,0,0,0.0000
137,1,0,0,0.0000
202,1,0,0,0.0000
337,1,0,0,0.0000
458,1,0,0,0.0000
533,1,0,0,0.0000
581,1,0,0,0.0000
765,2,0,0,2.3543
845,2,0,0,3.3884
941,1,0,0,0.0000
942,1,0,0,0.0000
1322,1,0,0,0.0000
1485,1,0,0,0.0000
1654,3,1,0,18.0636
1713,1,0,0,0.0000
1722,2,0,0,152.4858
1756,3,0,0,3.9380
2081,1,0,0,0.0000
2160,1,0,0,0.0000
2366,1,0,0,0.0000
2387,2,0,0,92.3992
2610,1,0,0,0.0000
2900,1,0,0,0.0000
3023,1,0,0,0.0000
3068,1,0,0,0.0000
3109,2,0,0,1.6530
3189,1,0,0,0.0000
3215,1,0,0,0.0000
3403,1,0,0,0.0000
3739,1,0,0,0.0000
3849,1,0,0,0.0000
3877,1,0,0,0.0000
4078,1,0,0,0.0000
4550,2,0,0,1.8330
4652,1,0,0,0.0000
4816,1,0,0,0.0000
5129,2,0,0,7.8156
5182,1,0,0,0.0000
5628,1,0,0,0.0000
5868,2,0,0,11.4164
5925,1,0,0,0.0000
5948,2,0,0,0.3011
6015,1,0,0,0.0000
6274,2,0,0,0.0803
6410,1,0,0,0.0000
6588,1,0,0,0.0000
6811,1,0,0,0.0000
6818,1,0,0,0.0000
6825,1,0,0,0.0000
6895,1,0,0,0.0000
7023,1,0,0,0.0000
7173,2,0,0,8.3272
7684,3,0,0,4.1590
7854,1,0,0,0.0000
8002,1,0,0,0.0000
8249,1,0,0,0.0000
8287,1,0,0,0.0000
8410,2,0,0,2.2941
8683,1,0,0,0.0000
8697,3,0,0,2.3941
8736,2,0,0,0.9686
8797,1,0,0,0.0000
8914,1,0,0,0.0000
8949,1,0,0,0.0000
8998,1,0,0,0.0000
9004,2,0,0,249.7518
9214,2,0,0,103.2951
9289,1,0,0,0.0000
9487,1,0,0,0.0000
9540,1,0,0,0.0000
9672,1,0,0,0.0000
10262,5,0,0,2.8569
10317,1,0,0,0.0000
10387,1,0,0,0.0000
10444,1,0,0,0.0000
10937,1,0,0,0.0000
10946,1,0,0,0.0000
10984,1,0,0,0.0000
11021,1,0,0,0.0000
11157,1,0,0,0.0000
11243,1,0,0,0.0000
11302,1,0,0,0.0000
11369,2,0,0,0.2246
11475,1,0,0,0.0000
11598,2,0,0,2.3419
11757,1,0,0,0.0000
12165,1,0,0,0.0000
12241,1,0,0,0.0000
12356,1,0,0,0.0000
12485,1,0,0,0.0000
12547,1,0,0,0.0000
12635,1,0,0,0.0000
12699,1,0,0,0.0000
12768,1,0,0,0.0000
12773,1,0,0,0.0000
12800,1,0,0,0.0000
12859,1,0,0,0.0000
13306,2,0,0,1.2061
13395,1,0,0,0.0000
13552,1,0,0,0.0000
13640,1,0,0,0.0000
13660,10,0,0,13.7307
13996,1,0,0,0.0000
14033,2,0,0,0.2172
14089,1,0,0,0.0000
14259,1,0,0,0.0000
14699,1,0,0,0.0000
15385,1,0,0,0.0000
15578,1,0,0,0.0000
15613,2,0,0,0.4670
15795,3,0,0,6.3707
15868,1,0,0,0.0000
15985,1,0,0,0.0000
16136,1,0,0,0.0000
16223,1,0,0,0.0000
16485,1,0,0,0.0000
16497,1,0,0,0.0000
16516,1,0,0,0.0000
16602,2,0,0,0.2571
16989,1,0,0,0.0000
17007,1,0,0,0.0000
17128,1,0,0,0.0000
17531,1,0,0,0.0000
17768,1,0,0,0.0000
17799,1,0,0,0.0000
17851,1,0,0,0.0000
17948,1,0,0,0.0000
18006,1,0,0,0.0000
18470,1,0,0,0.0000
18581,1,0,0,0.0000
18588,1,0,0,0.0000
18767,1,0,0,0.0000
18916,1,0,0,0.0000
19077,1,0,0,0.0000
19244,1,0,0,0.0000
19251,1,0,0,0.0000
19297,3,0,0,2.4321
19374,1,0,0,0.0000
19386,1,0,0,0.0000
19393,2,0,0,29.2612
19582,2,0,0,2.3722
20269,1,0,0,0.0000
20314,1,0,0,0.0000
20434,1,0,0,0.0000
20457,1,0,0,0.0000
20705,1,0,0,0.0000
20903,1,0,0,0.0000
21004,1,0,0,0.0000
21084,1,0,0,0.0000
21164,1,0,0,0.0000
21199,1,0,0,0.0000
21417,1,0,0,0.0000
21469,1,0,0,0.0000
21858,1,0,0,0.0000
21952,1,0,0,0.0000
22003,1,0,0,0.0000
22090,0,0,1,0.0000
22148,1,0,0,0.0000
22519,1,0,0,0.0000
22853,1,0,0,0.0000
22893,1,0,0,0.0000
23005,1,0,0,0.0000
23430,1,0,0,0.0000
23685,1,0,0,0.0000
24096,1,0,0,0.0000
24116,2,0,0,170.6622
24136,1,0,0,0.0000
24392,1,0,0,0.0000
24522,1,0,0,0.0000
24559,1,0,0,0.0000
24564,1,0,0,0.0000
24701,1,0,0,0.0000
24769,1,0,0,0.0000
24821,1,0,0,0.0000
